pollster,population,date,approval,disapproval
YouGov,All adults,2024-07-16,37,59
YouGov,Registered voters,2024-07-16,40,58
YouGov,All adults,2024-07-09,37,58
YouGov,Registered voters,2024-07-09,40,58
YouGov,All adults,2024-07-02,37,57
YouGov,Registered voters,2024-07-02,40,57
YouGov,All adults,2024-07-01,38,57
YouGov,Registered voters,2024-07-01,41,58
YouGov,All adults,2024-06-25,36,58
YouGov,Registered voters,2024-06-25,41,57
YouGov,Registered voters,2024-06-24,42.8,55.9
YouGov,All adults,2024-06-22,37,55
YouGov,All adults,2024-06-18,37,58
YouGov,Registered voters,2024-06-18,42,57
YouGov,All adults,2024-06-11,36,59
YouGov,Registered voters,2024-06-11,40,58
YouGov,All adults,2024-06-06,37,58
YouGov,Registered voters,2024-06-06,40,58
YouGov,All adults,2024-06-04,37,57
YouGov,Registered voters,2024-06-04,40,58
YouGov,All adults,2024-05-28,38,58
YouGov,Registered voters,2024-05-28,40,58
YouGov,All adults,2024-05-21,36,58
YouGov,Registered voters,2024-05-21,39,58
YouGov,All adults,2024-05-14,39,57
YouGov,Registered voters,2024-05-14,40,58
YouGov,All adults,2024-05-13,38,57
YouGov,All adults,2024-05-07,37,58
YouGov,Registered voters,2024-05-07,40,58
YouGov,All adults,2024-04-30,37,58
YouGov,Registered voters,2024-04-30,40,58
YouGov,All adults,2024-04-23,36,59
YouGov,Registered voters,2024-04-23,41,58
YouGov,All adults,2024-04-16,38,59
YouGov,Registered voters,2024-04-16,40,58
YouGov,All adults,2024-04-15,40,54
YouGov,Registered voters,2024-04-15,44,54
YouGov,All adults,2024-04-12,40,60
YouGov,All adults,2024-04-09,37,59
YouGov,Registered voters,2024-04-09,41,57
YouGov,All adults,2024-04-02,38,57
YouGov,Registered voters,2024-04-02,42,56
YouGov,All adults,2024-03-26,38,57
YouGov,Registered voters,2024-03-26,41,57
YouGov,All adults,2024-03-19,40,56
YouGov,Registered voters,2024-03-19,43,56
YouGov,All adults,2024-03-12,39,55
YouGov,Registered voters,2024-03-12,42,55
YouGov,All adults,2024-03-11,39,55
YouGov,Registered voters,2024-03-11,43,56
YouGov,All adults,2024-03-05,40,56
YouGov,Registered voters,2024-03-05,42,56
YouGov,All adults,2024-02-27,43,52
YouGov,Registered voters,2024-02-27,45,53
YouGov,All adults,2024-02-20,42,53
YouGov,Registered voters,2024-02-20,43,54
YouGov,All adults,2024-02-14,42,58
YouGov,All adults,2024-02-13,42,55
YouGov,Registered voters,2024-02-13,45,54
YouGov,All adults,2024-02-06,42,55
YouGov,Registered voters,2024-02-06,45,53
YouGov,All adults,2024-01-30,41,54
YouGov,Registered voters,2024-01-30,44,54
YouGov,All adults,2024-01-30,39,57
YouGov,All adults,2024-01-29,40,56
YouGov,Registered voters,2024-01-29,43,55
YouGov,All adults,2024-01-23,40,56
YouGov,Registered voters,2024-01-23,43,55
YouGov,All adults,2024-01-16,40,54
YouGov,Registered voters,2024-01-16,43,54
YouGov,All adults,2024-01-09,40,53
YouGov,Registered voters,2024-01-09,42,57
YouGov,All adults,2024-01-05,41,59
YouGov,All adults,2024-01-02,39,56
YouGov,Registered voters,2024-01-02,43,56
YouGov,All adults,2023-12-18,40,54
YouGov,Registered voters,2023-12-18,42,55
YouGov,All adults,2023-12-18,37,57
YouGov,All adults,2023-12-12,39,55
YouGov,Registered voters,2023-12-12,42,55
YouGov,All adults,2023-12-08,41,59
YouGov,All adults,2023-12-05,39,55
YouGov,Registered voters,2023-12-05,43,55
YouGov,All adults,2023-11-27,41,54
YouGov,Registered voters,2023-11-27,44,54
YouGov,All adults,2023-11-20,40,54
YouGov,Registered voters,2023-11-20,44,54
YouGov,All adults,2023-11-15,42.4,54.7
YouGov,All adults,2023-11-14,41,52
YouGov,Registered voters,2023-11-14,44,54
YouGov,All adults,2023-11-13,38,56
YouGov,Registered voters,2023-11-13,40,58
YouGov,All adults,2023-11-07,40,54
YouGov,Registered voters,2023-11-07,43,54
YouGov,All adults,2023-10-31,39,57
YouGov,Registered voters,2023-10-31,40,57
YouGov,All adults,2023-10-24,40,55
YouGov,Registered voters,2023-10-24,41,56
YouGov,All adults,2023-10-19,40,60
YouGov,All adults,2023-10-17,41,53
YouGov,Registered voters,2023-10-17,43,54
YouGov,All adults,2023-10-16,39,54
YouGov,Registered voters,2023-10-16,42,55
YouGov,All adults,2023-10-10,41,54
YouGov,Registered voters,2023-10-10,44,53
YouGov,All adults,2023-10-03,40,55
YouGov,Registered voters,2023-10-03,42,57
YouGov,All adults,2023-09-26,40,55
YouGov,Registered voters,2023-09-26,42,55
YouGov,All adults,2023-09-19,41,55
YouGov,Registered voters,2023-09-19,43,54
YouGov,All adults,2023-09-18,38,56
YouGov,Registered voters,2023-09-18,42,55
YouGov,All adults,2023-09-12,38,57
YouGov,Registered voters,2023-09-12,41,56
YouGov,All adults,2023-09-08,40,60
YouGov,All adults,2023-09-05,41,53
YouGov,Registered voters,2023-09-05,45,53
YouGov,All adults,2023-08-29,38,55
